MATCH_ID,SEASON,DATE,HOME_TEAM,AWAY_TEAM,STADIUM,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,PENALTY_SHOOT_OUT,ATTENDANCE
mt21,2021-2022,24-11-2021,Liverpool FC,FC Porto,Anfield,2,0,0,52209
mt22,2021-2022,24-11-2021,Atlético Madrid,AC Milan,Wanda Metropolitano,0,1,0,61019
mt23,2021-2022,07-12-2021,FC Porto,Atlético Madrid,Estádio do Dragão,1,3,0,38830
mt24,2021-2022,07-12-2021,AC Milan,Liverpool FC,Giuseppe Meazza,1,2,0,56237
mt25,2021-2022,15-09-2021,Beşiktaş,Borussia Dortmund,Vodafone Park,1,2,0,22445
mt26,2021-2022,15-09-2021,Sporting CP,AFC Ajax,Estádio José Alvalade,1,5,0,20382
mt27,2021-2022,28-09-2021,AFC Ajax,Beşiktaş,Johan Cruijff ArenA,2,0,0,52628
mt28,2021-2022,28-09-2021,Borussia Dortmund,Sporting CP,Signal Iduna Park,1,0,0,25000
mt29,2021-2022,19-10-2021,Beşiktaş,Sporting CP,Vodafone Park,1,4,0,22936
mt30,2021-2022,19-10-2021,AFC Ajax,Borussia Dortmund,Johan Cruijff ArenA,4,0,0,54029
mt31,2021-2022,03-11-2021,Borussia Dortmund,AFC Ajax,Signal Iduna Park,1,3,0,54820
mt32,2021-2022,03-11-2021,Sporting CP,Beşiktaş,Estádio José Alvalade,4,0,0,40835
mt33,2021-2022,24-11-2021,Beşiktaş,AFC Ajax,Vodafone Park,1,2,0,11712
mt34,2021-2022,24-11-2021,Sporting CP,Borussia Dortmund,Estádio José Alvalade,3,1,0,41341
mt35,2021-2022,07-12-2021,AFC Ajax,Sporting CP,Johan Cruijff ArenA,4,2,0,0
mt36,2021-2022,07-12-2021,Borussia Dortmund,Beşiktaş,Signal Iduna Park,5,0,0,15000
mt37,2021-2022,15-09-2021,FC Sheriff,Shakhtar Donetsk,Sheriff Stadium,2,0,0,5205
mt38,2021-2022,15-09-2021,Inter,Real Madrid,Giuseppe Meazza,0,1,0,37082
mt39,2021-2022,28-09-2021,Shakhtar Donetsk,Inter,Olimpiyskyi,0,0,0,26170
mt40,2021-2022,28-09-2021,Real Madrid,FC Sheriff,Santiago Bernabéu,1,2,0,24522
mt41,2021-2022,19-10-2021,Shakhtar Donetsk,Real Madrid,Olimpiyskyi,0,5,0,34037
mt42,2021-2022,19-10-2021,Inter,FC Sheriff,Giuseppe Meazza,3,1,0,43305
mt43,2021-2022,03-11-2021,Real Madrid,Shakhtar Donetsk,Santiago Bernabéu,2,1,0,38105
mt44,2021-2022,03-11-2021,FC Sheriff,Inter,Sheriff Stadium,1,3,0,5930
mt45,2021-2022,24-11-2021,Inter,Shakhtar Donetsk,Giuseppe Meazza,2,0,0,46225
mt46,2021-2022,24-11-2021,FC Sheriff,Real Madrid,Sheriff Stadium,0,3,0,5932
mt47,2021-2022,07-12-2021,Real Madrid,Inter,Santiago Bernabéu,2,0,0,46887
mt48,2021-2022,07-12-2021,Shakhtar Donetsk,FC Sheriff,Olimpiyskyi,1,1,0,6841
mt49,2021-2022,14-09-2021,FC Barcelona,Bayern München,Spotify Camp Nou,0,3,0,39737
mt50,2021-2022,14-09-2021,Dinamo Kiev,SL Benfica,Olimpiyskyi,0,0,0,21657
mt51,2021-2022,29-09-2021,SL Benfica,FC Barcelona,Estádio da Luz,3,0,0,29454
mt52,2021-2022,29-09-2021,Bayern München,Dinamo Kiev,Allianz Arena,5,0,0,25000
mt53,2021-2022,20-10-2021,FC Barcelona,Dinamo Kiev,Spotify Camp Nou,1,0,0,45968
mt54,2021-2022,20-10-2021,SL Benfica,Bayern München,Estádio da Luz,0,4,0,50000
mt55,2021-2022,02-11-2021,Bayern München,SL Benfica,Allianz Arena,5,2,0,50000
mt56,2021-2022,02-11-2021,Dinamo Kiev,FC Barcelona,Olimpiyskyi,0,1,0,31378
mt57,2021-2022,23-11-2021,Dinamo Kiev,Bayern München,Olimpiyskyi,1,2,0,28732
mt58,2021-2022,23-11-2021,FC Barcelona,SL Benfica,Spotify Camp Nou,0,0,0,49572
mt59,2021-2022,08-12-2021,Bayern München,FC Barcelona,Allianz Arena,3,0,0,0
mt60,2021-2022,08-12-2021,SL Benfica,Dinamo Kiev,Estádio da Luz,2,0,0,37000
mt61,2021-2022,14-09-2021,BSC Young Boys,Manchester United,Stadion Wankdorf,2,1,0,31120
mt62,2021-2022,14-09-2021,Villarreal CF,Atalanta,Estadio de la Cerámica,2,2,0,12916
mt63,2021-2022,29-09-2021,Atalanta,BSC Young Boys,Gewiss Stadium,1,0,0,8536
mt64,2021-2022,29-09-2021,Manchester United,Villarreal CF,Old Trafford,2,1,0,73130
mt65,2021-2022,20-10-2021,Manchester United,Atalanta,Old Trafford,3,2,0,72279
mt66,2021-2022,20-10-2021,BSC Young Boys,Villarreal CF,Stadion Wankdorf,1,4,0,27398
mt67,2021-2022,02-11-2021,Atalanta,Manchester United,Gewiss Stadium,2,2,0,14443
mt68,2021-2022,02-11-2021,Villarreal CF,BSC Young Boys,Estadio de la Cerámica,2,0,0,14890
mt69,2021-2022,23-11-2021,Villarreal CF,Manchester United,Estadio de la Cerámica,0,2,0,20875
mt70,2021-2022,23-11-2021,BSC Young Boys,Atalanta,Stadion Wankdorf,3,3,0,31120
mt71,2021-2022,08-12-2021,Manchester United,BSC Young Boys,Old Trafford,1,1,0,73156
mt72,2021-2022,09-12-2021,Atalanta,Villarreal CF,Gewiss Stadium,2,3,0,11690
mt73,2021-2022,14-09-2021,Sevilla FC,RB Salzburg,Ramón Sánchez Pizjuán,1,1,0,18373
mt74,2021-2022,14-09-2021,Lille OSC,VfL Wolfsburg,Stade Pierre Mauroy,0,0,0,34314
mt75,2021-2022,29-09-2021,RB Salzburg,Lille OSC,Red Bull Arena,2,1,0,24207
mt76,2021-2022,29-09-2021,VfL Wolfsburg,Sevilla FC,Volkswagen Arena,1,1,0,11733
mt77,2021-2022,20-10-2021,RB Salzburg,VfL Wolfsburg,Red Bull Arena,3,1,0,27500
mt78,2021-2022,20-10-2021,Lille OSC,Sevilla FC,Stade Pierre Mauroy,0,0,0,34362
mt79,2021-2022,02-11-2021,VfL Wolfsburg,RB Salzburg,Volkswagen Arena,2,1,0,16112
mt80,2021-2022,02-11-2021,Sevilla FC,Lille OSC,Ramón Sánchez Pizjuán,1,2,0,29369
mt81,2021-2022,23-11-2021,Lille OSC,RB Salzburg,Stade Pierre Mauroy,1,0,0,33573
mt82,2021-2022,23-11-2021,Sevilla FC,VfL Wolfsburg,Ramón Sánchez Pizjuán,2,0,0,28663
mt83,2021-2022,08-12-2021,RB Salzburg,Sevilla FC,Red Bull Arena,1,0,0,0
mt84,2021-2022,08-12-2021,VfL Wolfsburg,Lille OSC,Volkswagen Arena,1,3,0,6544
mt85,2021-2022,14-09-2021,Chelsea FC,Zenit St. Petersburg,Stamford Bridge,1,0,0,39252
mt86,2021-2022,14-09-2021,Malmö FF,Juventus,Nya Malmö Stadion,0,3,0,5832
mt87,2021-2022,29-09-2021,Zenit St. Petersburg,Malmö FF,Gazprom Arena,4,0,0,15339
mt88,2021-2022,29-09-2021,Juventus,Chelsea FC,Allianz Stadium,1,0,0,19934
mt89,2021-2022,20-10-2021,Zenit St. Petersburg,Juventus,Gazprom Arena,0,1,0,18717
mt90,2021-2022,20-10-2021,Chelsea FC,Malmö FF,Stamford Bridge,4,0,0,39095
mt91,2021-2022,02-11-2021,Malmö FF,Chelsea FC,Nya Malmö Stadion,0,1,0,19551
mt92,2021-2022,02-11-2021,Juventus,Zenit St. Petersburg,Allianz Stadium,4,2,0,20053
mt93,2021-2022,23-11-2021,Chelsea FC,Juventus,Stamford Bridge,4,0,0,39513
mt94,2021-2022,23-11-2021,Malmö FF,Zenit St. Petersburg,Nya Malmö Stadion,1,1,0,19551
mt95,2021-2022,08-12-2021,Zenit St. Petersburg,Chelsea FC,Gazprom Arena,3,3,0,29349
mt96,2021-2022,08-12-2021,Juventus,Malmö FF,Allianz Stadium,1,0,0,17501
mt97,2021-2022,15-02-2022,Sporting CP,Manchester City,Estádio José Alvalade,0,5,0,48129
mt98,2021-2022,15-02-2022,Paris Saint-Germain,Real Madrid,Parc des Princes,1,0,0,47443
mt99,2021-2022,16-02-2022,RB Salzburg,Bayern München,Red Bull Arena,1,1,0,29520
mt100,2021-2022,16-02-2022,Inter,Liverpool FC,Giuseppe Meazza,0,2,0,37918
mt101,2021-2022,22-02-2022,Chelsea FC,Lille OSC,Stamford Bridge,2,0,0,38832
mt102,2021-2022,22-02-2022,Villarreal CF,Juventus,Estadio de la Cerámica,1,1,0,17686
mt103,2021-2022,23-02-2022,SL Benfica,AFC Ajax,Estádio da Luz,2,2,0,54760
mt104,2021-2022,23-02-2022,Atlético Madrid,Manchester United,Wanda Metropolitano,1,1,0,63273
mt105,2021-2022,08-03-2022,Bayern München,RB Salzburg,Allianz Arena,7,1,0,25000
mt106,2021-2022,08-03-2022,Liverpool FC,Inter,Anfield,0,1,0,51747
mt107,2021-2022,09-03-2022,Manchester City,Sporting CP,Etihad Stadium,0,0,0,51213
mt108,2021-2022,09-03-2022,Real Madrid,Paris Saint-Germain,Santiago Bernabéu,3,1,0,59895
mt109,2021-2022,15-03-2022,AFC Ajax,SL Benfica,Johan Cruijff ArenA,0,1,0,54066
mt110,2021-2022,15-03-2022,Manchester United,Atlético Madrid,Old Trafford,0,1,0,73008
mt111,2021-2022,16-03-2022,Lille OSC,Chelsea FC,Stade Pierre Mauroy,1,2,0,49048
mt112,2021-2022,16-03-2022,Juventus,Villarreal CF,Allianz Stadium,0,3,0,30385
mt113,2021-2022,05-04-2022,Manchester City,Atlético Madrid,Etihad Stadium,1,0,0,52018
mt114,2021-2022,05-04-2022,SL Benfica,Liverpool FC,Estádio da Luz,1,3,0,59633
mt115,2021-2022,06-04-2022,Chelsea FC,Real Madrid,Stamford Bridge,1,3,0,38689
mt116,2021-2022,06-04-2022,Villarreal CF,Bayern München,Estadio de la Cerámica,1,0,0,21626
mt117,2021-2022,12-04-2022,Real Madrid,Chelsea FC,Santiago Bernabéu,2,3,0,59839
mt118,2021-2022,12-04-2022,Bayern München,Villarreal CF,Allianz Arena,1,1,0,70000
mt119,2021-2022,13-04-2022,Atlético Madrid,Manchester City,Wanda Metropolitano,0,0,0,65675
mt120,2021-2022,13-04-2022,Liverpool FC,SL Benfica,Anfield,3,3,0,51373
mt121,2021-2022,26-04-2022,Manchester City,Real Madrid,Etihad Stadium,4,3,0,55097
mt122,2021-2022,27-04-2022,Liverpool FC,Villarreal CF,Anfield,2,0,0,51586
mt123,2021-2022,03-05-2022,Villarreal CF,Liverpool FC,Estadio de la Cerámica,2,3,0,23665
mt124,2021-2022,04-05-2022,Real Madrid,Manchester City,Santiago Bernabéu,3,1,0,61416
mt125,2021-2022,28-05-2022,Liverpool FC,Real Madrid,Stade de France,0,1,0,0
mt126,2020-2021,21-10-2020,RB Salzburg,Lokomotiv Moskva,Red Bull Arena,2,2,0,3000
mt127,2020-2021,21-10-2020,Bayern München,Atlético Madrid,Allianz Arena,4,0,0,0
mt128,2020-2021,27-10-2020,Lokomotiv Moskva,Bayern München,RŽD-Arena,1,2,0,8196
mt129,2020-2021,27-10-2020,Atlético Madrid,RB Salzburg,Wanda Metropolitano,3,2,0,0
mt130,2020-2021,03-11-2020,Lokomotiv Moskva,Atlético Madrid,RŽD-Arena,1,1,0,8147
mt131,2020-2021,03-11-2020,RB Salzburg,Bayern München,Red Bull Arena,2,6,0,0
mt132,2020-2021,25-11-2020,Atlético Madrid,Lokomotiv Moskva,Wanda Metropolitano,0,0,0,0
mt133,2020-2021,25-11-2020,Bayern München,RB Salzburg,Allianz Arena,3,1,0,0
mt134,2020-2021,01-12-2020,Lokomotiv Moskva,RB Salzburg,RŽD-Arena,1,3,0,6759
mt135,2020-2021,01-12-2020,Atlético Madrid,Bayern München,Wanda Metropolitano,1,1,0,0
mt136,2020-2021,09-12-2020,Bayern München,Lokomotiv Moskva,Allianz Arena,2,0,0,0
mt137,2020-2021,09-12-2020,RB Salzburg,Atlético Madrid,Red Bull Arena,0,2,0,0
mt138,2020-2021,21-10-2020,Real Madrid,Shakhtar Donetsk,Alfredo Di Stéfano,2,3,0,0
mt139,2020-2021,21-10-2020,Inter,Bor. Mönchengladbach,Giuseppe Meazza,2,2,0,1000
mt140,2020-2021,27-10-2020,Shakhtar Donetsk,Inter,Olimpiyskyi,0,0,0,10178
mt141,2020-2021,27-10-2020,Bor. Mönchengladbach,Real Madrid,Borussia-Park,2,2,0,0
mt142,2020-2021,03-11-2020,Shakhtar Donetsk,Bor. Mönchengladbach,Olimpiyskyi,0,6,0,0
mt143,2020-2021,03-11-2020,Real Madrid,Inter,Alfredo Di Stéfano,3,2,0,0
mt144,2020-2021,25-11-2020,Bor. Mönchengladbach,Shakhtar Donetsk,Borussia-Park,4,0,0,0
mt145,2020-2021,25-11-2020,Inter,Real Madrid,Giuseppe Meazza,0,2,0,0
mt146,2020-2021,01-12-2020,Shakhtar Donetsk,Real Madrid,Olimpiyskyi,2,0,0,0
mt147,2020-2021,01-12-2020,Bor. Mönchengladbach,Inter,Borussia-Park,2,3,0,0
mt148,2020-2021,09-12-2020,Inter,Shakhtar Donetsk,Giuseppe Meazza,0,0,0,0
mt149,2020-2021,09-12-2020,Real Madrid,Bor. Mönchengladbach,Alfredo Di Stéfano,2,0,0,0
mt150,2020-2021,21-10-2020,Manchester City,FC Porto,Etihad Stadium,3,1,0,0
mt151,2020-2021,21-10-2020,Olympiakos Piraeus,Olympique Marseille,Georgios Karaiskakis,1,0,0,0
mt152,2020-2021,27-10-2020,FC Porto,Olympiakos Piraeus,Estádio do Dragão,2,0,0,2450
mt153,2020-2021,27-10-2020,Olympique Marseille,Manchester City,Vélodrome,0,3,0,0
mt154,2020-2021,03-11-2020,FC Porto,Olympique Marseille,Estádio do Dragão,3,0,0,0
mt155,2020-2021,03-11-2020,Manchester City,Olympiakos Piraeus,Etihad Stadium,3,0,0,0
mt156,2020-2021,25-11-2020,Olympiakos Piraeus,Manchester City,Georgios Karaiskakis,0,1,0,0
mt157,2020-2021,25-11-2020,Olympique Marseille,FC Porto,Vélodrome,0,2,0,0
mt158,2020-2021,01-12-2020,FC Porto,Manchester City,Estádio do Dragão,0,0,0,0
mt159,2020-2021,01-12-2020,Olympique Marseille,Olympiakos Piraeus,Vélodrome,2,1,0,0
mt160,2020-2021,09-12-2020,Manchester City,Olympique Marseille,Etihad Stadium,3,0,0,1
mt161,2020-2021,09-12-2020,Olympiakos Piraeus,FC Porto,Georgios Karaiskakis,0,2,0,0
mt162,2020-2021,21-10-2020,AFC Ajax,Liverpool FC,Johan Cruijff ArenA,0,1,0,0
mt163,2020-2021,21-10-2020,FC Midtjylland,Atalanta,MCH Arena,0,4,0,132
mt164,2020-2021,27-10-2020,Atalanta,AFC Ajax,Gewiss Stadium,2,2,0,0
mt165,2020-2021,27-10-2020,Liverpool FC,FC Midtjylland,Anfield,2,0,0,0
mt166,2020-2021,03-11-2020,Atalanta,Liverpool FC,Gewiss Stadium,0,5,0,0
mt167,2020-2021,03-11-2020,FC Midtjylland,AFC Ajax,MCH Arena,1,2,0,132
mt168,2020-2021,25-11-2020,AFC Ajax,FC Midtjylland,Johan Cruijff ArenA,3,1,0,0
mt169,2020-2021,25-11-2020,Liverpool FC,Atalanta,Anfield,0,2,0,0
mt170,2020-2021,01-12-2020,Atalanta,FC Midtjylland,Gewiss Stadium,1,1,0,0
mt171,2020-2021,01-12-2020,Liverpool FC,AFC Ajax,Anfield,1,0,0,0
mt172,2020-2021,09-12-2020,AFC Ajax,Atalanta,Johan Cruijff ArenA,0,1,0,0
mt173,2020-2021,09-12-2020,FC Midtjylland,Liverpool FC,MCH Arena,1,1,0,0
mt174,2020-2021,20-10-2020,Chelsea FC,Sevilla FC,Stamford Bridge,0,0,0,0
mt175,2020-2021,20-10-2020,Stade Rennes,FK Krasnodar,Roazhon Park,1,1,0,4973
mt176,2020-2021,28-10-2020,FK Krasnodar,Chelsea FC,Krasnodar Stadium,0,4,0,10544
mt177,2020-2021,28-10-2020,Sevilla FC,Stade Rennes,Ramón Sánchez Pizjuán,1,0,0,0
mt178,2020-2021,04-11-2020,Chelsea FC,Stade Rennes,Stamford Bridge,3,0,0,0
mt179,2020-2021,04-11-2020,Sevilla FC,FK Krasnodar,Ramón Sánchez Pizjuán,3,2,0,1
mt180,2020-2021,24-11-2020,Stade Rennes,Chelsea FC,Roazhon Park,1,2,0,0
mt181,2020-2021,24-11-2020,FK Krasnodar,Sevilla FC,Krasnodar Stadium,1,2,0,10554
mt182,2020-2021,02-12-2020,FK Krasnodar,Stade Rennes,Krasnodar Stadium,1,0,0,8747
mt183,2020-2021,02-12-2020,Sevilla FC,Chelsea FC,Ramón Sánchez Pizjuán,0,4,0,0
mt184,2020-2021,08-12-2020,Chelsea FC,FK Krasnodar,Stamford Bridge,1,1,0,2000
mt185,2020-2021,08-12-2020,Stade Rennes,Sevilla FC,Roazhon Park,1,3,0,0
mt186,2020-2021,20-10-2020,Zenit St. Petersburg,Club Brugge KV,Gazprom Arena,1,2,0,16682
mt187,2020-2021,20-10-2020,Lazio Roma,Borussia Dortmund,Olimpico,3,1,0,1000
mt188,2020-2021,28-10-2020,Borussia Dortmund,Zenit St. Petersburg,Signal Iduna Park,2,0,0,0
mt189,2020-2021,28-10-2020,Club Brugge KV,Lazio Roma,Jan Breydel Stadion,1,1,0,0
mt190,2020-2021,04-11-2020,Zenit St. Petersburg,Lazio Roma,Gazprom Arena,1,1,0,0
mt191,2020-2021,04-11-2020,Club Brugge KV,Borussia Dortmund,Jan Breydel Stadion,0,3,0,0
mt192,2020-2021,24-11-2020,Borussia Dortmund,Club Brugge KV,Signal Iduna Park,3,0,0,0
mt193,2020-2021,24-11-2020,Lazio Roma,Zenit St. Petersburg,Olimpico,3,1,0,0
mt194,2020-2021,02-12-2020,Borussia Dortmund,Lazio Roma,Signal Iduna Park,1,1,0,0
mt195,2020-2021,02-12-2020,Club Brugge KV,Zenit St. Petersburg,Jan Breydel Stadion,3,0,0,0
mt196,2020-2021,08-12-2020,Zenit St. Petersburg,Borussia Dortmund,Gazprom Arena,1,2,0,10860
mt197,2020-2021,08-12-2020,Lazio Roma,Club Brugge KV,Olimpico,2,2,0,0
mt198,2020-2021,20-10-2020,Dinamo Kiev,Juventus,Olimpiyskyi,0,2,0,14850
mt199,2020-2021,20-10-2020,FC Barcelona,Ferencvárosi TC,Spotify Camp Nou,5,1,0,0
mt200,2020-2021,28-10-2020,Ferencvárosi TC,Dinamo Kiev,Groupama Aréna,2,2,0,6171
mt201,2020-2021,28-10-2020,Juventus,FC Barcelona,Allianz Stadium,0,2,0,0
mt202,2020-2021,04-11-2020,FC Barcelona,Dinamo Kiev,Spotify Camp Nou,2,1,0,0
mt203,2020-2021,04-11-2020,Ferencvárosi TC,Juventus,Puskás Aréna,1,4,0,18531
mt204,2020-2021,24-11-2020,Dinamo Kiev,FC Barcelona,Olimpiyskyi,0,4,0,0
mt205,2020-2021,24-11-2020,Juventus,Ferencvárosi TC,Allianz Stadium,2,1,0,0
mt206,2020-2021,02-12-2020,Juventus,Dinamo Kiev,Allianz Stadium,3,0,0,0
mt207,2020-2021,02-12-2020,Ferencvárosi TC,FC Barcelona,Groupama Aréna,0,3,0,0
mt208,2020-2021,08-12-2020,Dinamo Kiev,Ferencvárosi TC,Olimpiyskyi,1,0,0,0
mt209,2020-2021,08-12-2020,FC Barcelona,Juventus,Spotify Camp Nou,0,3,0,0
mt210,2020-2021,20-10-2020,RB Leipzig,İstanbul Başakşehir,Red Bull Arena,2,0,0,999
mt211,2020-2021,20-10-2020,Paris Saint-Germain,Manchester United,Parc des Princes,1,2,0,0
mt212,2020-2021,28-10-2020,İstanbul Başakşehir,Paris Saint-Germain,Fatih Terim Stadium,0,2,0,350
mt213,2020-2021,28-10-2020,Manchester United,RB Leipzig,Old Trafford,5,0,0,577
mt214,2020-2021,04-11-2020,İstanbul Başakşehir,Manchester United,Fatih Terim Stadium,2,1,0,350
mt215,2020-2021,04-11-2020,RB Leipzig,Paris Saint-Germain,Red Bull Arena,2,1,0,0
mt216,2020-2021,24-11-2020,Manchester United,İstanbul Başakşehir,Old Trafford,4,1,0,545
mt217,2020-2021,24-11-2020,Paris Saint-Germain,RB Leipzig,Parc des Princes,1,0,0,0
mt218,2020-2021,02-12-2020,İstanbul Başakşehir,RB Leipzig,Fatih Terim Stadium,3,4,0,0
mt219,2020-2021,02-12-2020,Manchester United,Paris Saint-Germain,Old Trafford,1,3,0,638
mt220,2020-2021,08-12-2020,RB Leipzig,Manchester United,Red Bull Arena,3,2,0,0
mt221,2020-2021,09-12-2020,Paris Saint-Germain,İstanbul Başakşehir,Parc des Princes,5,1,0,0
mt222,2020-2021,16-02-2021,RB Leipzig,Liverpool FC,Puskás Aréna,0,2,0,0
mt223,2020-2021,16-02-2021,FC Barcelona,Paris Saint-Germain,Spotify Camp Nou,1,4,0,0
mt224,2020-2021,17-02-2021,FC Porto,Juventus,Estádio do Dragão,2,1,0,0
mt225,2020-2021,17-02-2021,Sevilla FC,Borussia Dortmund,Ramón Sánchez Pizjuán,2,3,0,0
mt226,2020-2021,23-02-2021,Lazio Roma,Bayern München,Olimpico,1,4,0,0
mt227,2020-2021,23-02-2021,Atlético Madrid,Chelsea FC,Arena Națională,0,1,0,0
mt228,2020-2021,24-02-2021,Bor. Mönchengladbach,Manchester City,Puskás Aréna,0,2,0,0
mt229,2020-2021,24-02-2021,Atalanta,Real Madrid,Gewiss Stadium,0,1,0,0
mt230,2020-2021,09-03-2021,Juventus,FC Porto,Allianz Stadium,3,2,0,0
mt231,2020-2021,09-03-2021,Borussia Dortmund,Sevilla FC,Signal Iduna Park,2,2,0,0
mt232,2020-2021,10-03-2021,Liverpool FC,RB Leipzig,Puskás Aréna,2,0,0,0
mt233,2020-2021,10-03-2021,Paris Saint-Germain,FC Barcelona,Parc des Princes,1,1,0,0
mt234,2020-2021,16-03-2021,Manchester City,Bor. Mönchengladbach,Puskás Aréna,2,0,0,0
mt235,2020-2021,16-03-2021,Real Madrid,Atalanta,Alfredo Di Stéfano,3,1,0,0
mt236,2020-2021,17-03-2021,Bayern München,Lazio Roma,Allianz Arena,2,1,0,0
mt237,2020-2021,17-03-2021,Chelsea FC,Atlético Madrid,Stamford Bridge,2,0,0,0
mt238,2020-2021,06-04-2021,Manchester City,Borussia Dortmund,Etihad Stadium,2,1,0,0
mt239,2020-2021,06-04-2021,Real Madrid,Liverpool FC,Alfredo Di Stéfano,3,1,0,0
mt240,2020-2021,07-04-2021,FC Porto,Chelsea FC,Ramón Sánchez Pizjuán,0,2,0,0
mt241,2020-2021,07-04-2021,Bayern München,Paris Saint-Germain,Allianz Arena,2,3,0,0
mt242,2020-2021,13-04-2021,Chelsea FC,FC Porto,Ramón Sánchez Pizjuán,0,1,0,0
mt243,2020-2021,13-04-2021,Paris Saint-Germain,Bayern München,Parc des Princes,0,1,0,0
mt244,2020-2021,14-04-2021,Borussia Dortmund,Manchester City,Signal Iduna Park,1,2,0,0
mt245,2020-2021,14-04-2021,Liverpool FC,Real Madrid,Anfield,0,0,0,0
mt246,2020-2021,27-04-2021,Real Madrid,Chelsea FC,Alfredo Di Stéfano,1,1,0,0
mt247,2020-2021,28-04-2021,Paris Saint-Germain,Manchester City,Parc des Princes,1,2,0,0
mt248,2020-2021,04-05-2021,Manchester City,Paris Saint-Germain,Etihad Stadium,2,0,0,0
mt249,2020-2021,05-05-2021,Chelsea FC,Real Madrid,Stamford Bridge,2,0,0,0
mt250,2020-2021,29-05-2021,Manchester City,Chelsea FC,Estádio do Dragão,0,1,0,14110
mt251,2019-2020,18-09-2019,Club Brugge KV,Galatasaray,Jan Breydel Stadion,0,0,0,26616
mt252,2019-2020,18-09-2019,Paris Saint-Germain,Real Madrid,Parc des Princes,3,0,0,46361
mt253,2019-2020,01-10-2019,Real Madrid,Club Brugge KV,Santiago Bernabéu,2,2,0,65112
mt254,2019-2020,01-10-2019,Galatasaray,Paris Saint-Germain,Nef Stadyumu,0,1,0,46532
mt255,2019-2020,22-10-2019,Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,0,5,0,26946
mt256,2019-2020,22-10-2019,Galatasaray,Real Madrid,Nef Stadyumu,0,1,0,48886
mt257,2019-2020,06-11-2019,Paris Saint-Germain,Club Brugge KV,Parc des Princes,1,0,0,47418
mt258,2019-2020,06-11-2019,Real Madrid,Galatasaray,Santiago Bernabéu,6,0,0,65492
mt259,2019-2020,26-11-2019,Galatasaray,Club Brugge KV,Nef Stadyumu,1,1,0,34500
mt260,2019-2020,26-11-2019,Real Madrid,Paris Saint-Germain,Santiago Bernabéu,2,2,0,75534
mt261,2019-2020,11-12-2019,Paris Saint-Germain,Galatasaray,Parc des Princes,5,0,0,46509
mt262,2019-2020,11-12-2019,Club Brugge KV,Real Madrid,Jan Breydel Stadion,1,3,0,27308
mt263,2019-2020,18-09-2019,Olympiakos Piraeus,Tottenham Hotspur,Georgios Karaiskakis,2,2,0,31001
mt264,2019-2020,18-09-2019,Bayern München,Crvena Zvezda,Allianz Arena,3,0,0,70000
mt265,2019-2020,01-10-2019,Tottenham Hotspur,Bayern München,Tottenham Hotspur Stadium,2,7,0,60127
mt266,2019-2020,01-10-2019,Crvena Zvezda,Olympiakos Piraeus,Marakana,3,1,0,43291
